princeps,interacted_with,verdict
INHIBITEURS DE L'ENZYME DE CONVERSION,ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,A prendre en compte
INHIBITEURS DE L'ENZYME DE CONVERSION,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,Précaution d'emploi
INHIBITEURS DE L'ENZYME DE CONVERSION,DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),ASDEC - PE
INHIBITEURS DE L'ENZYME DE CONVERSION,DIURÉTIQUES HYPOKALIÉMIANTS,Précaution d'emploi
INHIBITEURS DE L'ENZYME DE CONVERSION,EPLERENONE,Précaution d'emploi
INHIBITEURS DE L'ENZYME DE CONVERSION,ESTRAMUSTINE,Association DECONSEILLEE
INHIBITEURS DE L'ENZYME DE CONVERSION,EVEROLIMUS,A prendre en compte
INHIBITEURS DE L'ENZYME DE CONVERSION,INSULINE,Précaution d'emploi
INHIBITEURS DE L'ENZYME DE CONVERSION,LITHIUM,Association DECONSEILLEE
INHIBITEURS DE L'ENZYME DE CONVERSION,OR,A prendre en compte
INHIBITEURS DE L'ENZYME DE CONVERSION,POTASSIUM,Association DECONSEILLEE
INHIBITEURS DE L'ENZYME DE CONVERSION,SACUBITRIL,CONTRE-INDICATION
INHIBITEURS DE L'ENZYME DE CONVERSION,SIROLIMUS,A prendre en compte
INHIBITEURS DE L'ENZYME DE CONVERSION,SPIRONOLACTONE,Précaution d'emploi
INHIBITEURS DE L'ENZYME DE CONVERSION,SULFAMIDES HYPOGLYCÉMIANTS,Précaution d'emploi
INHIBITEURS DE L'ENZYME DE CONVERSION,TEMSIROLIMUS,A prendre en compte
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),ACIDE FUSIDIQUE,CONTRE-INDICATION
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),ANTIVITAMINES K,Précaution d'emploi
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),COBIMÉTINIB,A prendre en compte
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),COLCHICINE,Précaution d'emploi
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),DAPTOMYCINE,Association DECONSEILLEE
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),ELTROMBOPAG,Précaution d'emploi
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),FIBRATES,CIASDEC
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),GRAZOPREVIR  ELBASVIR,Précaution d'emploi
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),LÉDIPASVIR,CI - PE
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),LENALIDOMIDE,Précaution d'emploi
INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),LÉTERMOVIR,ASDEC - PE
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,AFATINIB,Précaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ALBENDAZOLE,Précaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Précaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ANTIVITAMINES K,Précaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ATORVASTATINE,Association DECONSEILLEE
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ATOVAQUONE,Association DECONSEILLEE
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,BUPRENORPHINE,A prendre en compte
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,CLARITHROMYCINE,Précaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,CYPROTERONE,ASDEC - PEPrécaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,DIGOXINE,Précaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ESTROPROGESTATIFS CONTRACEPTIFS,Association DECONSEILLEE
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,HORMONES THYROÏDIENNES,Précaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,IMMUNOSUPPRESSEURS,Association DECONSEILLEE
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,INHIBITEURS PUISSANTS DU CYP3A4,A prendre en compte
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ITRACONAZOLE,Précaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,LAMOTRIGINE,ASDEC - PEPrécaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,METHADONE,Précaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,MILLEPERTUIS,CONTRE-INDICATION
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,NINTÉDANIB,Précaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,PROGESTATIFS CONTRACEPTIFS,Association DECONSEILLEE
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,QUINIDINE,CONTRE-INDICATION
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,RIFABUTINE,Précaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,RIFAMPICINE,CONTRE-INDICATION
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ROSUVASTATINE,Précaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,TÉNOFOVIR ALAFÉNAMIDE,Précaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",Précaution d'emploi
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ULIPRISTAL,Association DECONSEILLEE
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,VENLAFAXINE,A prendre en compte
INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,VORICONAZOLE,Association DECONSEILLEE
INHIBITEURS DES TYROSINE KINASES MÉTABOLISÉS,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
INHIBITEURS DES TYROSINE KINASES MÉTABOLISÉS,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,A prendre en compte
INHIBITEURS DES TYROSINE KINASES MÉTABOLISÉS,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,A prendre en compte
INHIBITEURS DES TYROSINE KINASES MÉTABOLISÉS,APALUTAMIDE,Association DECONSEILLEE
INHIBITEURS DES TYROSINE KINASES MÉTABOLISÉS,INHIBITEURS PUISSANTS DU CYP3A4,ASDEC - PE
INHIBITEURS DES TYROSINE KINASES MÉTABOLISÉS,MILLEPERTUIS,CONTRE-INDICATION
INHIBITEURS DES TYROSINE KINASES MÉTABOLISÉS,RIFAMPICINE,Association DECONSEILLEE
INHIBITEURS DIRECTS DE LA THROMBINE À INDICATION SPÉCIFIQUE,AUTRES MÉDICAMENTS AGISSANT SUR L'HÉMOSTASE,A prendre en compte
INHIBITEURS PUISSANTS DU CYP3A4,ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,ALFENTANIL,Précaution d'emploi
INHIBITEURS PUISSANTS DU CYP3A4,ALFUZOSINE,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,ALPRAZOLAM,A prendre en compte
INHIBITEURS PUISSANTS DU CYP3A4,ANTAGONISTES DES CANAUX CALCIQUES,ASDEC - PE
INHIBITEURS PUISSANTS DU CYP3A4,ANTISPASMODIQUES URINAIRES,Précaution d'emploiA prendre en compteCIASDECPEASDEC - PE
INHIBITEURS PUISSANTS DU CYP3A4,APIXABAN,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,BÉDAQUILINE,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,BORTEZOMIB,Précaution d'emploi
INHIBITEURS PUISSANTS DU CYP3A4,BOSENTAN,Précaution d'emploi
INHIBITEURS PUISSANTS DU CYP3A4,BRENTUXIMAB,A prendre en compte
INHIBITEURS PUISSANTS DU CYP3A4,CABAZITAXEL,Précaution d'emploi
INHIBITEURS PUISSANTS DU CYP3A4,COBICISTAT,A prendre en compte
INHIBITEURS PUISSANTS DU CYP3A4,COLCHICINE,CIASDEC
INHIBITEURS PUISSANTS DU CYP3A4,"CORTICOÏDES MÉTABOLISÉS, NOTAMMENT INHALÉS",Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,DAPOXÉTINE,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,DÉLAMANID,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,DISOPYRAMIDE,Précaution d'emploi
INHIBITEURS PUISSANTS DU CYP3A4,DOCETAXEL,Précaution d'emploi
INHIBITEURS PUISSANTS DU CYP3A4,DOMPERIDONE,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,DRONEDARONE,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,ÉLIGLUSTAT,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,EPLERENONE,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,FENTANYL,Précaution d'emploi
INHIBITEURS PUISSANTS DU CYP3A4,GRAZOPREVIR  ELBASVIR,CIASDEC
INHIBITEURS PUISSANTS DU CYP3A4,HALOFANTRINE,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,IDÉLALISIB,A prendre en compte
INHIBITEURS PUISSANTS DU CYP3A4,INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5,CIASDECPEASDEC - PE
INHIBITEURS PUISSANTS DU CYP3A4,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,A prendre en compte
INHIBITEURS PUISSANTS DU CYP3A4,INHIBITEURS DES TYROSINE KINASES MÉTABOLISÉS,ASDEC - PE
INHIBITEURS PUISSANTS DU CYP3A4,IRINOTECAN,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,ISAVUCONAZOLE,CI - PE
INHIBITEURS PUISSANTS DU CYP3A4,IVABRADINE,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,IVACAFTOR,Précaution d'emploi
INHIBITEURS PUISSANTS DU CYP3A4,LOMITAPIDE,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,LUMEFANTRINE,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,LURASIDONE,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,MARAVIROC,Précaution d'emploi
INHIBITEURS PUISSANTS DU CYP3A4,MIDAZOLAM,ASDEC - PE
INHIBITEURS PUISSANTS DU CYP3A4,MIDOSTAURINE,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,NALOXEGOL,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,OLAPARIB,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,OMBITASVIR  PARITAPRÉVIR,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,OXYCODONE,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,PANOBINOSTAT,Précaution d'emploi
INHIBITEURS PUISSANTS DU CYP3A4,PIMOZIDE,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,QUETIAPINE,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,QUININE,ASDEC - PE
INHIBITEURS PUISSANTS DU CYP3A4,RANOLAZINE,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,RÉGORAFÉNIB,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,RIOCIGUAT,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,RIVAROXABAN,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,SILODOSINE,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,SIMVASTATINE,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,SUBSTRATS À RISQUE DU CYP3A4,A prendre en compte
INHIBITEURS PUISSANTS DU CYP3A4,SUFENTANIL,Précaution d'emploi
INHIBITEURS PUISSANTS DU CYP3A4,TAMSULOSINE,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,TELITHROMYCINE,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,TICAGRELOR,CONTRE-INDICATION
INHIBITEURS PUISSANTS DU CYP3A4,TOLVAPTAN,Précaution d'emploi
INHIBITEURS PUISSANTS DU CYP3A4,TRASTUZUMAB EMTANSINE,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,VERAPAMIL,Précaution d'emploi
INHIBITEURS PUISSANTS DU CYP3A4,VINCA-ALCALOÏDES CYTOTOXIQUES,Association DECONSEILLEE
INHIBITEURS PUISSANTS DU CYP3A4,ZOLPIDEM,A prendre en compte
INHIBITEURS PUISSANTS DU CYP3A4,ZOPICLONE,A prendre en compte
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,ACIDE ACETYLSALICYLIQUE,A prendre en compte
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,ANTIAGRÉGANTS PLAQUETTAIRES,A prendre en compte
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,ANTICOAGULANTS ORAUX,A prendre en compte
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,ANTIDÉPRESSEURS IMIPRAMINIQUES,Précaution d'emploi
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,A prendre en compte
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,COBIMÉTINIB,Précaution d'emploi
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,CYPROHEPTADINE,A prendre en compte
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,IMAO IRRÉVERSIBLES,CONTRE-INDICATION
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,"IMAO-A RÉVERSIBLES, Y COMPRIS OXAZOLIDINONES ET BLEU DE MÉTHYLÈNE",Association DECONSEILLEE
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,IMAO-B,A prendre en compte
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,LITHIUM,Précaution d'emploi
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,MILLEPERTUIS,Précaution d'emploi
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,ORLISTAT,A prendre en compte
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,TRAMADOL,A prendre en compte
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,TRIPTANS,A prendre en compte
INSULINE,ALCOOL (BOISSON OU EXCIPIENT),Association DECONSEILLEE
INSULINE,ANALOGUES DE LA SOMATOSTATINE,Précaution d'emploi
INSULINE,BÊTA-2 MIMÉTIQUES,Précaution d'emploi
INSULINE,BÊTA-BLOQUANTS (SAUF ESMOLOL),Précaution d'emploi
INSULINE,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,Précaution d'emploi
INSULINE,CHLORPROMAZINE,Précaution d'emploi
INSULINE,DANAZOL,Association DECONSEILLEE
INSULINE,INHIBITEURS DE L'ENZYME DE CONVERSION,Précaution d'emploi
INTERFERON ALFA,"FLUOROURACILE (ET, PAR EXTRAPOLATION, AUTRES FLUOROPYRIMIDINES)",A prendre en compte
IPILIMUMAB,ANTICOAGULANTS ORAUX,Précaution d'emploi
IRINOTECAN,APALUTAMIDE,Association DECONSEILLEE
IRINOTECAN,INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
IRINOTECAN,INHIBITEURS PUISSANTS DU CYP3A4,Association DECONSEILLEE
IRINOTECAN,MILLEPERTUIS,CONTRE-INDICATION
ISAVUCONAZOLE,INDUCTEURS ENZYMATIQUES,CONTRE-INDICATION
ISAVUCONAZOLE,INHIBITEURS PUISSANTS DU CYP3A4,CI - PE
ISAVUCONAZOLE,MILLEPERTUIS,CONTRE-INDICATION
ISONIAZIDE,ANESTHÉSIQUES VOLATILS HALOGÉNÉS,Précaution d'emploi
ISONIAZIDE,CARBAMAZEPINE,Association DECONSEILLEE
ISONIAZIDE,DISULFIRAME,Association DECONSEILLEE
ISONIAZIDE,GLUCOCORTICOÏDES (SAUF HYDROCORTISONE),Précaution d'emploi
ISONIAZIDE,KETOCONAZOLE,Précaution d'emploi
ISONIAZIDE,"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",Précaution d'emploi
ISONIAZIDE,PYRAZINAMIDE,Précaution d'emploi
ISONIAZIDE,RIFAMPICINE,Précaution d'emploi
ISONIAZIDE,STAVUDINE,Précaution d'emploi
ISOPRENALINE,ANESTHÉSIQUES VOLATILS HALOGÉNÉS,Association DECONSEILLEE
ITRACONAZOLE,AFATINIB,Précaution d'emploi
ITRACONAZOLE,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,A prendre en compte
ITRACONAZOLE,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,A prendre en compte
ITRACONAZOLE,APREPITANT,A prendre en compte
ITRACONAZOLE,ATORVASTATINE,CONTRE-INDICATION
ITRACONAZOLE,BUPRENORPHINE,Précaution d'emploi
ITRACONAZOLE,BUSPIRONE,Association DECONSEILLEE
ITRACONAZOLE,BUSULFAN,Association DECONSEILLEE
ITRACONAZOLE,DABIGATRAN,CONTRE-INDICATION
ITRACONAZOLE,DIGOXINE,Précaution d'emploi
ITRACONAZOLE,ELVITÉGRAVIR,Précaution d'emploi
ITRACONAZOLE,HYDROQUINIDINE,Précaution d'emploi
ITRACONAZOLE,IMMUNOSUPPRESSEURS,Association DECONSEILLEE
ITRACONAZOLE,INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
ITRACONAZOLE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Précaution d'emploi
ITRACONAZOLE,MILLEPERTUIS,CONTRE-INDICATION
ITRACONAZOLE,NINTÉDANIB,Précaution d'emploi
ITRACONAZOLE,QUINIDINE,Précaution d'emploi
ITRACONAZOLE,SALMETEROL,A prendre en compte
ITRACONAZOLE,TÉNOFOVIR ALAFÉNAMIDE,Précaution d'emploi
ITRACONAZOLE,TRABECTÉDINE,Association DECONSEILLEE
ITRACONAZOLE,VENLAFAXINE,A prendre en compte
IVABRADINE,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Précaution d'emploi
IVABRADINE,AZITHROMYCINE,Précaution d'emploi
IVABRADINE,DILTIAZEM,CONTRE-INDICATION
IVABRADINE,INHIBITEURS PUISSANTS DU CYP3A4,CONTRE-INDICATION
IVABRADINE,JOSAMYCINE,CONTRE-INDICATION
IVABRADINE,MILLEPERTUIS,Association DECONSEILLEE
IVABRADINE,PAMPLEMOUSSE (JUS ET FRUIT),Association DECONSEILLEE
IVABRADINE,RIFAMPICINE,Précaution d'emploi
IVABRADINE,VERAPAMIL,CONTRE-INDICATION
IVACAFTOR,FLUCONAZOLE,Précaution d'emploi
IVACAFTOR,INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
IVACAFTOR,INHIBITEURS PUISSANTS DU CYP3A4,Précaution d'emploi
IVACAFTOR,PAMPLEMOUSSE (JUS ET FRUIT),Association DECONSEILLEE
JOSAMYCINE,CARBAMAZEPINE,Précaution d'emploi
JOSAMYCINE,CICLOSPORINE,Précaution d'emploi
JOSAMYCINE,DISOPYRAMIDE,Précaution d'emploi
JOSAMYCINE,HALOFANTRINE,Association DECONSEILLEE
JOSAMYCINE,IVABRADINE,CONTRE-INDICATION
JOSAMYCINE,PIMOZIDE,CONTRE-INDICATION
JOSAMYCINE,SILDENAFIL,Précaution d'emploi
JOSAMYCINE,TACROLIMUS,Association DECONSEILLEE
JOSAMYCINE,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",A prendre en compte
KETAMINE,TICLOPIDINE,A prendre en compte
KETOCONAZOLE,AFATINIB,Précaution d'emploi
KETOCONAZOLE,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,A prendre en compte
KETOCONAZOLE,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,A prendre en compte
KETOCONAZOLE,ATORVASTATINE,CONTRE-INDICATION
KETOCONAZOLE,BUPRENORPHINE,Précaution d'emploi
KETOCONAZOLE,DABIGATRAN,CONTRE-INDICATION
KETOCONAZOLE,ELVITÉGRAVIR,Précaution d'emploi
KETOCONAZOLE,FIDAXOMICINE,Association DECONSEILLEE
KETOCONAZOLE,IMMUNOSUPPRESSEURS,Association DECONSEILLEE
KETOCONAZOLE,ISONIAZIDE,Précaution d'emploi
KETOCONAZOLE,LERCANIDIPINE,Association DECONSEILLEE
KETOCONAZOLE,NEVIRAPINE,CONTRE-INDICATION
KETOCONAZOLE,NINTÉDANIB,Précaution d'emploi
KETOCONAZOLE,RIFAMPICINE,Association DECONSEILLEE
KETOCONAZOLE,SALMETEROL,A prendre en compte
KETOCONAZOLE,TÉNOFOVIR ALAFÉNAMIDE,Précaution d'emploi
KETOCONAZOLE,VENLAFAXINE,A prendre en compte
LAMIVUDINE,CLADRIBINE,Association DECONSEILLEE
LAMIVUDINE,SORBITOL,Association DECONSEILLEE
LAMOTRIGINE,CARBAMAZEPINE,Précaution d'emploi
LAMOTRIGINE,ESTROPROGESTATIFS CONTRACEPTIFS,Précaution d'emploiASDECPEASDEC - PE
LAMOTRIGINE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ASDEC - PEPrécaution d'emploi
LAMOTRIGINE,OXCARBAZEPINE,Précaution d'emploi
LAMOTRIGINE,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",Association DECONSEILLEE
LANSOPRAZOLE,TACROLIMUS,Précaution d'emploi
LAPATINIB,TÉDIZOLIDE,Association DECONSEILLEE
LAXATIFS (TYPE MACROGOL),MÉDICAMENTS ADMINISTRÉS PAR VOIE ORALE,A prendre en compte
LÉDIPASVIR,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,CONTRE-INDICATION
LÉDIPASVIR,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,Précaution d'emploi
LÉDIPASVIR,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),CI - PE
LÉDIPASVIR,MILLEPERTUIS,CONTRE-INDICATION
LÉDIPASVIR,RIFABUTINE,CONTRE-INDICATION
LÉDIPASVIR,RIFAMPICINE,CONTRE-INDICATION
LÉDIPASVIR,TENOFOVIR DISOPROXIL,Précaution d'emploi
LENALIDOMIDE,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),Précaution d'emploi
LERCANIDIPINE,CICLOSPORINE,Précaution d'emploi
LERCANIDIPINE,KETOCONAZOLE,Association DECONSEILLEE
LERCANIDIPINE,PAMPLEMOUSSE (JUS ET FRUIT),A prendre en compte
LÉTERMOVIR,ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,CONTRE-INDICATION
LÉTERMOVIR,IMMUNOSUPPRESSEURS,Précaution d'emploi
LÉTERMOVIR,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),ASDEC - PE
LÉTERMOVIR,PIMOZIDE,CONTRE-INDICATION
LÉTERMOVIR,VORICONAZOLE,Association DECONSEILLEE
LEVOCARNITINE,ANTIVITAMINES K,Précaution d'emploi
LEVODOPA,BACLOFENE,A prendre en compte
LEVODOPA,FER,Précaution d'emploi
LEVODOPA,IMAO-B,A prendre en compte
LEVODOPA,METHYLDOPA,Précaution d'emploi
LEVODOPA,NEUROLEPTIQUES ANTIÉMÉTIQUES,CONTRE-INDICATION
LEVODOPA,NEUROLEPTIQUES ANTIPSYCHOTIQUES (SAUF CLOZAPINE),Association DECONSEILLEE
LEVODOPA,RESERPINE,CONTRE-INDICATION
LEVODOPA,SPIRAMYCINE,Précaution d'emploi
LEVODOPA,TETRABENAZINE,Association DECONSEILLEE
LEVOFLOXACINE,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,Précaution d'emploi
LEVONORGESTREL,INDUCTEURS ENZYMATIQUES,Précaution d'emploi
LIDOCAINE,AMIODARONE,Précaution d'emploi
LIDOCAINE,BÊTA-BLOQUANTS (SAUF ESMOLOL),Précaution d'emploi
LIDOCAINE,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,A prendre en compte
LIDOCAINE,CIMETIDINE,Précaution d'emploi
LIDOCAINE,FLUVOXAMINE,Précaution d'emploi
LINCOSANIDES,CURARES,Précaution d'emploi
LINEZOLIDE,CLARITHROMYCINE,A prendre en compte
LINEZOLIDE,RIFAMPICINE,Précaution d'emploi
LITHIUM,ACETAZOLAMIDE,Précaution d'emploi
LITHIUM,ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,Association DECONSEILLEE
LITHIUM,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,Association DECONSEILLEE
LITHIUM,CAFEINE,A prendre en compte
LITHIUM,CALCITONINE,Précaution d'emploi
LITHIUM,CARBAMAZEPINE,Association DECONSEILLEE
LITHIUM,DIURÉTIQUES DE L'ANSE,Association DECONSEILLEE
LITHIUM,DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),Précaution d'emploi
LITHIUM,DIURÉTIQUES THIAZIDIQUES ET APPARENTÉS,Association DECONSEILLEE
LITHIUM,GLYCEROL,Précaution d'emploi
LITHIUM,INHIBITEURS DE L'ENZYME DE CONVERSION,Association DECONSEILLEE
LITHIUM,INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,Précaution d'emploi
LITHIUM,MANNITOL,Précaution d'emploi
LITHIUM,METHYLDOPA,Précaution d'emploi
LITHIUM,METRONIDAZOLE,Précaution d'emploi
LITHIUM,NEUROLEPTIQUES,Précaution d'emploi
LITHIUM,ORLISTAT,A prendre en compte
LITHIUM,SODIUM (BICARBONATE DE),Précaution d'emploi
LITHIUM,SODIUM (CHLORURE DE),Précaution d'emploi
LITHIUM,THEOPHYLLINE,Précaution d'emploi
LITHIUM,TOPIRAMATE,Précaution d'emploi
LOMITAPIDE,INHIBITEURS PUISSANTS DU CYP3A4,CONTRE-INDICATION
LOMITAPIDE,MILLEPERTUIS,Association DECONSEILLEE
LOMUSTINE,CIMETIDINE,Association DECONSEILLEE
LOSARTAN,FLUCONAZOLE,A prendre en compte
CYP3A4,INHIBITEURS PUISSANTS DU CYP3A4,Association DECONSEILLEE
LURASIDONE,INDUCTEURS ENZYMATIQUES,CONTRE-INDICATION
LURASIDONE,INHIBITEURS PUISSANTS DU CYP3A4,CONTRE-INDICATION
